left,оставил
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Mall it is ""-1"".","<b> Минимальная ширина </ b> - минимальная ширина экрана, к которому должен применяться номер столбцов. <br /> <b> Столбцы </ b> - количество столбцов само по себе. <br /> <b> Интервал </ b > - расстояние между ячейками в сетке. Для Молла это ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Pure2 it is ""-1"".","<b> Минимальная ширина </ b> - минимальная ширина экрана, к которому должен применяться номер столбцов. <br /> <b> Столбцы </ b> - количество столбцов само по себе. <br /> <b> Интервал </ b > - расстояние между ячейками в сетке. Для Pure2 это «-1»."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Stripes it is ""-1"".","<b> Минимальная ширина </ b> - минимальная ширина экрана, к которому должен применяться номер столбцов. <br /> <b> Столбцы </ b> - количество столбцов само по себе. <br /> <b> Интервал </ b > - расстояние между ячейками в сетке. Для полос это ""-1""."
"List Mode","Режим списка"
"Product Page","Страница продукта"
"On a left side you can see simple page layout. Change config option and you'll see its effect there.","С левой стороны вы можете увидеть простой макет страницы. Измените параметр конфигурации, и вы увидите его эффект там."
"Media block width, %","Ширина медиаблока,%"
"Info Main block width, %","Информация Ширина основного блока,%"
"Width in percents for product info main block.","Ширина в процентах для информации о продукте основной блок."
"Thumbnails Type","Тип миниатюр"
"It duplicates <a href=""section/lightboxpro/#lightboxpro_general"">Lightbox Pro config</a>.","Он дублирует <a href=""section/lightboxpro/#lightboxpro_general""> конфигурацию Lightbox Pro </a>."
"To Cart Form","В корзину"
Tabs,Вкладки
"It duplicates <a href=""section/swissup_easytabs/"">Easytabs config</a>.","Он дублирует <a href=""section/swissup_easytabs/""> конфигурацию Easytabs </a>."
"Photo in description tab","Фото на вкладке описания"
"Sticky add to cart","Липкий блок добавления в корзину"
"Min width, px","Минимальная ширина, px"
Columns,Колонны
"Spacing, px","Интервал, пикс"
