left,links
"Enable sticky menu","Sticky menu inschakelen"
"Header background","Koptekst achtergrond"
"Header top panel","Bovenpaneel van koptekst"
"Text color","Tekst kleur"
"Border bottom width","Breedte onderrand"
"Border bottom style","Rand onderaan stijl"
"Border bottom color","Kleur onderste rand"
"Arrow color","Kleur pijl"
"Top level ""Departments"" link","Link 'Afdelingen' op het hoogste niveau"
"Background image","Achtergrond afbeelding"
"Background repeat","Achtergrond herhaling"
"Background position",Achtergrondpositie
"Hover state arrow color","Hover state pijlkleur"
"Active state arrow color","Kleur actieve pijl"
"""Departments"" direct children links","""Afdelingen"" leiden kinderlinks"
"Search button",Zoekknop
"Minicart button",Minicart-knop
"My Account button","Mijn account-knop"
"Alternative Logo Image","Alternatieve logo-afbeelding"
"This logo is used in some Argento themes","Dit logo wordt gebruikt in sommige Argento-thema's"
"Property $themeCode must be specified.","Eigenschap $themeCode moet worden gespecificeerd."
"Theme Defined","Thema gedefinieerd"
"Full width","Volledige breedte"
"Limited width","Beperkte breedte"
"One column","Een kolom"
"Two columns (left sidebar)","Twee kolommen (linkerzijbalk)"
"Two columns (right sidebar)","Twee kolommen (rechterzijbalk)"
"Three columns","Drie kolommen"
"Category Page",Categoriepagina
"Preview page layout","Voorbeeld pagina-indeling"
"Content width","Inhoud breedte"
"Max width","Maximale wijdte"
"Products list mode",Productenlijstmodus
"Grid Mode","Raster modus"
"Products per Page Allowed Values","Producten per pagina Toegestane waarden"
"Products per Page Default Value","Producten per pagina Standaardwaarde"
"Must be in the allowed values list","Moet in de lijst met toegestane waarden staan"
"Columns per Row","Kolommen per rij"
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Essence it is ""-1"".","<b> Min. breedte </b> - min. breedte van een scherm waarop het kolomnummer moet worden toegepast. <br /> <b> Kolommen </b> - kolommen tellen vanzelf. <br /> <b> Afstand </ b > - afstand tussen cellen in raster. Voor Essence is het ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Flat it is ""15"".","<b> Min. breedte </b> - min. breedte van een scherm waarop het kolomnummer moet worden toegepast. <br /> <b> Kolommen </b> - kolommen tellen vanzelf. <br /> <b> Afstand </ b > - afstand tussen cellen in raster. Voor Flat is het ""15""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Force it is ""6"".","<b> Min. breedte </b> - min. breedte van een scherm waarop het kolomnummer moet worden toegepast. <br /> <b> Kolommen </b> - kolommen tellen zelf. <br /> <b> Afstand </ b > - afstand tussen cellen in raster. Voor Force is het ""6""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Luxury it is ""6"".","<b> Min. breedte </b> - min. breedte van een scherm waarop het kolomnummer moet worden toegepast. <br /> <b> Kolommen </b> - kolommen tellen vanzelf. <br /> <b> Afstand </ b > - afstand tussen cellen in raster. Voor luxe is het ""6""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Mall it is ""-1"".","<b> Min. breedte </b> - min. breedte van een scherm waarop het kolomnummer moet worden toegepast. <br /> <b> Kolommen </b> - kolommen tellen vanzelf. <br /> <b> Afstand </ b > - afstand tussen cellen in raster. Voor Mall is het ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Pure2 it is ""-1"".","<b> Min. breedte </b> - min. breedte van een scherm waarop het kolomnummer moet worden toegepast. <br /> <b> Kolommen </b> - kolommen tellen vanzelf. <br /> <b> Afstand </ b > - afstand tussen cellen in raster. Voor Pure2 is het ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Stripes it is ""-1"".","<b> Min. breedte </b> - min. breedte van een scherm waarop het kolomnummer moet worden toegepast. <br /> <b> Kolommen </b> - kolommen tellen zelf. <br /> <b> Afstand </ b > - afstand tussen cellen in raster. Voor Stripes is het ""-1""."
"List Mode",Lijstmodus
"Product Page",Productpagina
"On a left side you can see simple page layout. Change config option and you'll see its effect there.","Aan de linkerkant ziet u een eenvoudige pagina-indeling. Wijzig de configuratieoptie en je zult het effect daar zien."
"Media block width, %","Breedte mediablok,%"
"Info Main block width, %","Info Breedte hoofdblok,%"
"Width in percents for product info main block.","Breedte in procenten voor productinfo hoofdblok."
"Thumbnails Type","Miniaturen type"
"It duplicates <a href=""section/lightboxpro/#lightboxpro_general"">Lightbox Pro config</a>.","Het dupliceert <a href=""section/lightboxpro/#lightboxpro_general""> Lightbox Pro-configuratie </a>."
"To Cart Form","Naar winkelwagenformulier"
Tabs,Tabbladen
"It duplicates <a href=""section/swissup_easytabs/"">Easytabs config</a>.","Het dupliceert <a href=""section/swissup_easytabs/""> Easytabs config </a>."
"Photo in description tab","Foto in tabblad beschrijving"
"Sticky add to cart","Kleverig in winkelwagen"
"Min width, px","Min breedte, px"
Columns,Kolommen
"Spacing, px","Spatiëring, px"
