left,sinistra
"Content width","Larghezza del contenuto"
"Max width","larghezza massima"
"Products list mode","Modalità elenco prodotti"
"Grid Mode","Modalità griglia"
"Products per Page Allowed Values","Prodotti per pagina Valori consentiti"
"Products per Page Default Value","Prodotti per pagina Valore predefinito"
"Must be in the allowed values list","Deve essere nell'elenco dei valori consentiti"
"Columns per Row","Colonne per riga"
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Essence it is ""-1"".","<b> Larghezza minima </b>: larghezza minima di una schermata in cui è necessario applicare il numero di colonne. <br /> <b> Colonne </b>: le colonne contano se stesse. <br /> <b> Spaziatura </ b > - spaziatura tra celle nella griglia. Per Essence è ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Flat it is ""15"".","<b> Larghezza minima </b>: larghezza minima di una schermata in cui è necessario applicare il numero di colonne. <br /> <b> Colonne </b>: le colonne contano se stesse. <br /> <b> Spaziatura </ b > - spaziatura tra celle nella griglia. Per Flat è ""15""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Force it is ""6"".","<b> Larghezza minima </b>: larghezza minima di una schermata in cui è necessario applicare il numero di colonne. <br /> <b> Colonne </b>: le colonne contano se stesse. <br /> <b> Spaziatura </ b > - spaziatura tra celle nella griglia. Per Force è ""6""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Luxury it is ""6"".","<b> Larghezza minima </b>: larghezza minima di una schermata in cui è necessario applicare il numero di colonne. <br /> <b> Colonne </b>: le colonne contano se stesse. <br /> <b> Spaziatura </ b > - spaziatura tra celle nella griglia. Per il lusso è ""6""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Mall it is ""-1"".","<b> Larghezza minima </b>: larghezza minima di una schermata in cui è necessario applicare il numero di colonne. <br /> <b> Colonne </b>: le colonne contano se stesse. <br /> <b> Spaziatura </ b > - spaziatura tra celle nella griglia. Per Mall è ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Pure2 it is ""-1"".","<b> Larghezza minima </b>: larghezza minima di una schermata in cui è necessario applicare il numero di colonne. <br /> <b> Colonne </b>: le colonne contano se stesse. <br /> <b> Spaziatura </ b > - spaziatura tra celle nella griglia. Per Pure2 è ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Stripes it is ""-1"".","<b> Larghezza minima </b>: larghezza minima di una schermata in cui è necessario applicare il numero di colonne. <br /> <b> Colonne </b>: le colonne contano se stesse. <br /> <b> Spaziatura </ b > - spaziatura tra celle nella griglia. Per Stripes è ""-1""."
"List Mode","Modalità elenco"
"Product Page","Pagina del prodotto"
"On a left side you can see simple page layout. Change config option and you'll see its effect there.","Sul lato sinistro puoi vedere un semplice layout di pagina. Cambia l'opzione di configurazione e vedrai il suo effetto lì."
"Media block width, %","Larghezza del blocco multimediale,%"
"Info Main block width, %","Info Larghezza blocco principale,%"
"Width in percents for product info main block.","Larghezza in percentuale per blocco principale informazioni prodotto."
"Thumbnails Type","Tipo di miniature"
"It duplicates <a href=""section/lightboxpro/#lightboxpro_general"">Lightbox Pro config</a>.","Duplica <a href=""section/lightboxpro/#lightboxpro_general""> Configurazione lightbox </a>."
"To Cart Form","Al carrello"
Tabs,Tabs
"It duplicates <a href=""section/swissup_easytabs/"">Easytabs config</a>.","Duplica <a href=""section/swissup_easytabs/""> Easytabs config </a>."
"Photo in description tab","Foto nella scheda descrizione"
"Sticky add to cart","Appiccicoso aggiungi al carrello"
"Min width, px","Larghezza minima, px"
Columns,colonne
"Spacing, px","Spaziatura, px"
